cluster,month,hist_norm
94,1,4.7905498
94,2,4.799484
94,3,4.8507915
94,4,4.908957
94,5,4.883643
94,6,4.8725863
94,7,4.836027
94,8,4.8243604
94,9,4.8368397
94,10,4.8276696
94,11,4.8333473
94,12,4.8636303
95,1,4.743356
95,2,4.7490954
95,3,4.8240805
95,4,4.8708315
95,5,4.8578033
95,6,4.864124
95,7,4.8347163
95,8,4.8181095
95,9,4.8385158
95,10,4.8218904
95,11,4.7988434
95,12,4.7980175
96,1,4.9192853
96,2,4.8984137
96,3,4.8904676
96,4,4.9492955
96,5,4.8696065
96,6,4.826677
96,7,4.8032293
96,8,4.7983747
96,9,4.7945743
96,10,4.7768855
96,11,4.8186917
96,12,4.8602285
97,1,4.7192388
97,2,4.7254863
97,3,4.78479
97,4,4.84391
97,5,4.8554473
97,6,4.854378
97,7,4.831607
97,8,4.825206
97,9,4.8228893
97,10,4.815863
97,11,4.781094
97,12,4.740207
98,1,4.763908
98,2,4.774256
98,3,4.828156
98,4,4.8731675
98,5,4.86797
98,6,4.8669877
98,7,4.8257217
98,8,4.8216085
98,9,4.820581
98,10,4.813534
98,11,4.7668557
98,12,4.7713923
99,1,4.775989
99,2,4.7768993
99,3,4.795962
99,4,4.881161
99,5,4.8887496
99,6,4.886285
99,7,4.841387
99,8,4.8403935
99,9,4.846088
99,10,4.807154
99,11,4.7904954
99,12,4.7675796
100,1,4.7061677
100,2,4.721602
100,3,4.726459
100,4,4.8103666
100,5,4.831228
100,6,4.8293304
100,7,4.8242893
100,8,4.820009
100,9,4.833347
100,10,4.822478
100,11,4.7746387
100,12,4.7378
101,1,4.72838
101,2,4.7269025
101,3,4.7726135
101,4,4.8322434
101,5,4.845484
101,6,4.8363624
101,7,4.82562
101,8,4.818849
101,9,4.8397894
101,10,4.8233557
101,11,4.779141
101,12,4.7345333
102,1,4.7963243
102,2,4.7536383
102,3,4.842509
102,4,4.8729696
102,5,4.8770704
102,6,4.8596034
102,7,4.8216558
102,8,4.8213706
102,9,4.8194666
102,10,4.808595
102,11,4.758854
102,12,4.7654085
103,1,4.7384133
103,2,4.7481585
103,3,4.768859
103,4,4.8326693
103,5,4.8386474
103,6,4.833956
103,7,4.8205857
103,8,4.832257
103,9,4.8201246
103,10,4.802543
103,11,4.7719316
103,12,4.7165713
104,1,4.7265925
104,2,4.7402763
104,3,4.775747
104,4,4.8455267
104,5,4.8557215
104,6,4.8495617
104,7,4.8298125
104,8,4.815086
104,9,4.8268056
104,10,4.817157
104,11,4.770125
104,12,4.748221
105,1,4.7554994
105,2,4.752059
105,3,4.803053
105,4,4.8590326
105,5,4.882142
105,6,4.864629
105,7,4.842945
105,8,4.8333893
105,9,4.843369
105,10,4.8202686
105,11,4.786183
105,12,4.7660093
106,1,4.7520537
106,2,4.757647
106,3,4.819497
106,4,4.890476
106,5,4.8724084
106,6,4.8693805
106,7,4.833048
106,8,4.8131785
106,9,4.8324137
106,10,4.8163733
106,11,4.819352
106,12,4.823351
107,1,4.74177
107,2,4.7602153
107,3,4.8147907
107,4,4.8691144
107,5,4.873381
107,6,4.8655906
107,7,4.835552
107,8,4.8281584
107,9,4.829058
107,10,4.8117833
107,11,4.778521
107,12,4.7633343
108,1,4.856672
108,2,4.8025517
108,3,4.8505363
108,4,4.9123845
108,5,4.890183
108,6,4.8659086
108,7,4.8311505
108,8,4.826772
108,9,4.8231373
108,10,4.803736
108,11,4.771204
108,12,4.8040276
109,1,4.7885222
109,2,4.7913485
109,3,4.8223515
109,4,4.8837447
109,5,4.876746
109,6,4.8740172
109,7,4.8365726
109,8,4.8235545
109,9,4.817506
109,10,4.816551
109,11,4.780405
109,12,4.7876515
110,1,4.7167363
110,2,4.7314906
110,3,4.7527905
110,4,4.8104634
110,5,4.815831
110,6,4.831741
110,7,4.816889
110,8,4.8087807
110,9,4.819152
110,10,4.806941
110,11,4.7608414
110,12,4.7305255
111,1,4.800735
111,2,4.7993517
111,3,4.8491917
111,4,4.9182167
111,5,4.890036
111,6,4.866361
111,7,4.8273168
111,8,4.8246384
111,9,4.8230968
111,10,4.806551
111,11,4.777555
111,12,4.7869344
112,1,4.7339363
112,2,4.741064
112,3,4.787337
112,4,4.8491917
112,5,4.863519
112,6,4.84461
112,7,4.8342457
112,8,4.82497
112,9,4.8315663
112,10,4.8170114
112,11,4.7755013
112,12,4.752258
113,1,4.7569566
113,2,4.766594
113,3,4.827357
113,4,4.8679113
113,5,4.873606
113,6,4.8620234
113,7,4.825725
113,8,4.8284793
113,9,4.8317604
113,10,4.8136034
113,11,4.77056
113,12,4.752273
114,1,4.7805314
114,2,4.7642446
114,3,4.8183804
114,4,4.878366
114,5,4.8987656
114,6,4.8804765
114,7,4.8480034
114,8,4.8314357
114,9,4.8450184
114,10,4.8073034
114,11,4.7780066
114,12,4.7678385
115,1,4.7540956
115,2,4.7499247
115,3,4.787897
115,4,4.826608
115,5,4.8360868
115,6,4.8332524
115,7,4.8259144
115,8,4.8242536
115,9,4.8164496
115,10,4.79099
115,11,4.7626557
115,12,4.7226257
116,1,4.761815
116,2,4.768353
116,3,4.807297
116,4,4.8725085
116,5,4.8811183
116,6,4.8729906
116,7,4.828293
116,8,4.8276606
116,9,4.8201313
116,10,4.8224187
116,11,4.7788677
116,12,4.775019
117,1,4.7286515
117,2,4.739092
117,3,4.7671766
117,4,4.8358
117,5,4.859194
117,6,4.8475924
117,7,4.835073
117,8,4.8205953
117,9,4.8310313
117,10,4.8146
117,11,4.7820506
117,12,4.7480893
118,1,4.7183414
118,2,4.7342815
118,3,4.7653913
118,4,4.8294
118,5,4.842751
118,6,4.837497
118,7,4.828561
118,8,4.820408
118,9,4.8229456
118,10,4.8105893
118,11,4.7923894
118,12,4.735356
119,1,4.719364
119,2,4.7449265
119,3,4.7519026
119,4,4.8249974
119,5,4.853008
119,6,4.8381033
119,7,4.8235826
119,8,4.8248215
119,9,4.8359227
119,10,4.8121786
119,11,4.778591
119,12,4.748579
120,1,4.8360057
120,2,4.8204618
120,3,4.8619533
120,4,4.9434342
120,5,4.903947
120,6,4.8881187
120,7,4.8579216
120,8,4.839772
120,9,4.838056
120,10,4.8271017
120,11,4.83492
120,12,4.873661
121,1,4.808404
121,2,4.79955
121,3,4.8597474
121,4,4.9095597
121,5,4.894344
